subtype,item_name,item_description,SD_prompt
Appetizer,Bruschetta," Toasted bread topped with diced tomatoes, basil, and garlic. ","A photograph of Bruschetta:  Toasted bread topped with diced tomatoes, basil, and garlic. "
Appetizer,Deviled Eggs," Halved boiled eggs filled with creamy, yellow yolk mixture.","A photograph of Deviled Eggs:  Halved boiled eggs filled with creamy, yellow yolk mixture."
Appetizer,Shrimp Cocktail," Chilled, peeled shrimp served around a glass of tangy red cocktail sauce.","A photograph of Shrimp Cocktail:  Chilled, peeled shrimp served around a glass of tangy red cocktail sauce."
Appetizer,Caprese Skewers," Skewers with cherry tomatoes, mozzarella balls, and basil leaves.","A photograph of Caprese Skewers:  Skewers with cherry tomatoes, mozzarella balls, and basil leaves."
Appetizer,Spinach Artichoke Dip," Creamy, green dip served in a bowl, often with bread or chips.","A photograph of Spinach Artichoke Dip:  Creamy, green dip served in a bowl, often with bread or chips."
Appetizer,Stuffed Mushrooms," Whole mushrooms filled with a brown, breadcrumb mixture.","A photograph of Stuffed Mushrooms:  Whole mushrooms filled with a brown, breadcrumb mixture."
Appetizer,Chicken Satay," Skewered, grilled chicken strips served with a peanut sauce.","A photograph of Chicken Satay:  Skewered, grilled chicken strips served with a peanut sauce."
Appetizer,Mini Quiches," Small, round pastries filled with egg, cheese, and vegetables or meat.","A photograph of Mini Quiches:  Small, round pastries filled with egg, cheese, and vegetables or meat."
Appetizer,Spring Rolls," Thin, translucent rolls filled with vegetables, often served with a dipping sauce.","A photograph of Spring Rolls:  Thin, translucent rolls filled with vegetables, often served with a dipping sauce."
Appetizer,Guacamole," Green, creamy dip made from avocados, often served with tortilla chips.","A photograph of Guacamole:  Green, creamy dip made from avocados, often served with tortilla chips."
Appetizer,Hummus," Creamy, beige dip made from chickpeas, often served with pita bread.","A photograph of Hummus:  Creamy, beige dip made from chickpeas, often served with pita bread."
Appetizer,Crab Cakes," Small, round, golden-brown patties made from crab meat.","A photograph of Crab Cakes:  Small, round, golden-brown patties made from crab meat."
Appetizer,Cheese Fondue," Melted cheese served in a pot, often with bread for dipping.","A photograph of Cheese Fondue:  Melted cheese served in a pot, often with bread for dipping."
Appetizer,Nachos," Tortilla chips topped with cheese, jalapenos, and often other toppings like meat or beans.","A photograph of Nachos:  Tortilla chips topped with cheese, jalapenos, and often other toppings like meat or beans."
Appetizer,Pigs in a Blanket, Small sausages or hot dogs wrapped in dough and baked.,A photograph of Pigs in a Blanket:  Small sausages or hot dogs wrapped in dough and baked.
Appetizer,Buffalo Wings," Chicken wings coated in a spicy, red sauce, often served with blue cheese dip.","A photograph of Buffalo Wings:  Chicken wings coated in a spicy, red sauce, often served with blue cheese dip."
Appetizer,Quesadillas," Tortillas filled with cheese and often other fillings, grilled and cut into wedges.","A photograph of Quesadillas:  Tortillas filled with cheese and often other fillings, grilled and cut into wedges."
Appetizer,Potato Skins," Halved, hollowed-out potatoes filled with cheese and bacon, often served with sour cream.","A photograph of Potato Skins:  Halved, hollowed-out potatoes filled with cheese and bacon, often served with sour cream."
Appetizer,Mozzarella Sticks," Long, breaded, fried cheese sticks, often served with marinara sauce.","A photograph of Mozzarella Sticks:  Long, breaded, fried cheese sticks, often served with marinara sauce."
Appetizer,Antipasto Platter," A plate with various cured meats, cheeses, olives, and pickled vegetables.","A photograph of Antipasto Platter:  A plate with various cured meats, cheeses, olives, and pickled vegetables."
Main Course,Grilled Salmon," A thick, pink-orange fillet with charred grill marks, often served with lemon wedges and dill.","A photograph of Grilled Salmon:  A thick, pink-orange fillet with charred grill marks, often served with lemon wedges and dill."
Main Course,Beef Wellington," A golden-brown pastry shell encasing a medium-rare beef fillet, often sliced to reveal the pink center.","A photograph of Beef Wellington:  A golden-brown pastry shell encasing a medium-rare beef fillet, often sliced to reveal the pink center."
Main Course,Chicken Alfredo," Creamy, white pasta dish with chunks of white chicken meat, often garnished with parsley.","A photograph of Chicken Alfredo:  Creamy, white pasta dish with chunks of white chicken meat, often garnished with parsley."
