subtype,species_latin_name,species_common_name,species_description,SD_prompt
Alismatales,Alisma plantago-aquatica,Water Plantain," Broad, oval leaves with pointed tips, white or pink flowers with three petals.","A photograph of a Water Plantain (Alisma plantago-aquatica): Broad, oval leaves with pointed tips, white or pink flowers with three petals."
Alismatales,Sagittaria sagittifolia,Arrowhead," Arrow-shaped leaves, white flowers with three petals, grows in water or marsh.","A photograph of a Arrowhead (Sagittaria sagittifolia): Arrow-shaped leaves, white flowers with three petals, grows in water or marsh."
Alismatales,Orontium aquaticum,Golden Club," Oblong leaves, yellow flower spike, grows in water or wet soil.","A photograph of a Golden Club (Orontium aquaticum): Oblong leaves, yellow flower spike, grows in water or wet soil."
Alismatales,Vallisneria spiralis,Tape Grass," Long, thin, ribbon-like leaves, small white flowers, aquatic.","A photograph of a Tape Grass (Vallisneria spiralis): Long, thin, ribbon-like leaves, small white flowers, aquatic."
Alismatales,Hydrocharis morsus-ranae,Frogbit," Small, round, floating leaves, white flowers with three petals, aquatic.","A photograph of a Frogbit (Hydrocharis morsus-ranae): Small, round, floating leaves, white flowers with three petals, aquatic."
Alismatales,Eichhornia crassipes,Water Hyacinth," Oval leaves with inflated stems, purple flowers, floating aquatic.","A photograph of a Water Hyacinth (Eichhornia crassipes): Oval leaves with inflated stems, purple flowers, floating aquatic."
Alismatales,Pontederia cordata,Pickerel Weed," Heart-shaped leaves, blue-purple flowers in a spike, grows in water or wet soil.","A photograph of a Pickerel Weed (Pontederia cordata): Heart-shaped leaves, blue-purple flowers in a spike, grows in water or wet soil."
Alismatales,Sagittaria latifolia,Duck Potato," Arrow-shaped leaves, white flowers with three petals, grows in water or marsh.","A photograph of a Duck Potato (Sagittaria latifolia): Arrow-shaped leaves, white flowers with three petals, grows in water or marsh."
Alismatales,Calla palustris,Water Arum," Heart-shaped leaves, white spathe flower, grows in water or marsh.","A photograph of a Water Arum (Calla palustris): Heart-shaped leaves, white spathe flower, grows in water or marsh."
Alismatales,Hydrocleys nymphoides,Water Poppy," Round leaves, yellow poppy-like flowers, floating aquatic.","A photograph of a Water Poppy (Hydrocleys nymphoides): Round leaves, yellow poppy-like flowers, floating aquatic."
Alismatales,Trapa natans,Water Chestnut," Floating rosettes of toothed leaves, white four-petaled flowers, aquatic.","A photograph of a Water Chestnut (Trapa natans): Floating rosettes of toothed leaves, white four-petaled flowers, aquatic."
Alismatales,Zostera marina,Eelgrass," Long, thin, ribbon-like leaves, small greenish flowers, submerged aquatic.","A photograph of a Eelgrass (Zostera marina): Long, thin, ribbon-like leaves, small greenish flowers, submerged aquatic."
Alismatales,Stratiotes aloides,Water Soldier," Rosettes of serrated leaves, white three-petaled flowers, floating aquatic.","A photograph of a Water Soldier (Stratiotes aloides): Rosettes of serrated leaves, white three-petaled flowers, floating aquatic."
Alismatales,Echinodorus amazonicus,Amazon Sword," Rosettes of long, broad leaves, white flowers on a spike, aquatic.","A photograph of a Amazon Sword (Echinodorus amazonicus): Rosettes of long, broad leaves, white flowers on a spike, aquatic."
Alismatales,Pistia stratiotes,Water Lettuce," Rosettes of soft, hairy leaves, small white flowers, floating aquatic.","A photograph of a Water Lettuce (Pistia stratiotes): Rosettes of soft, hairy leaves, small white flowers, floating aquatic."
Alismatales,Marsilea quadrifolia,Water Clover," Four-leaf-clover-like leaves, small white flowers, grows in water or wet soil.","A photograph of a Water Clover (Marsilea quadrifolia): Four-leaf-clover-like leaves, small white flowers, grows in water or wet soil."
Alismatales,Nymphaea alba,Water Lily," Round, floating leaves, large white flowers, aquatic.","A photograph of a Water Lily (Nymphaea alba): Round, floating leaves, large white flowers, aquatic."
Alismatales,Nuphar lutea,Yellow Pond Lily," Heart-shaped floating leaves, yellow cup-shaped flowers, aquatic.","A photograph of a Yellow Pond Lily (Nuphar lutea): Heart-shaped floating leaves, yellow cup-shaped flowers, aquatic."
Alismatales,Thalassia testudinum,Seagrass," Long, thin, ribbon-like leaves, small greenish flowers, submerged aquatic.","A photograph of a Seagrass (Thalassia testudinum): Long, thin, ribbon-like leaves, small greenish flowers, submerged aquatic."
Alismatales,Brasenia schreberi,Water Shield," Oval floating leaves, small purple flowers, aquatic.","A photograph of a Water Shield (Brasenia schreberi): Oval floating leaves, small purple flowers, aquatic."
Apiales,Hedera helix,English Ivy," Dark green, glossy leaves with 3-5 lobes, often with pale veins.","A photograph of a English Ivy (Hedera helix): Dark green, glossy leaves with 3-5 lobes, often with pale veins."
Apiales,Apium graveolens,Wild Celery," Thin, feathery leaves with a strong smell, small white flowers.","A photograph of a Wild Celery (Apium graveolens): Thin, feathery leaves with a strong smell, small white flowers."
Apiales,Anthriscus sylvestris,Common Cow Parsley," Delicate, fern-like leaves and clusters of tiny white flowers.","A photograph of a Common Cow Parsley (Anthriscus sylvestris): Delicate, fern-like leaves and clusters of tiny white flowers."
Apiales,Zizia aurea,Golden Alexanders," Bright yellow flowers in umbrella-like clusters, with toothed leaves.","A photograph of a Golden Alexanders (Zizia aurea): Bright yellow flowers in umbrella-like clusters, with toothed leaves."
Apiales,Daucus carota,Wild Carrot," White, lacy flowers with a dark purple center, feathery leaves.","A photograph of a Wild Carrot (Daucus carota): White, lacy flowers with a dark purple center, feathery leaves."
Apiales,Angelica archangelica,Angelica," Large, umbrella-like clusters of greenish-white flowers, large compound leaves.","A photograph of a Angelica (Angelica archangelica): Large, umbrella-like clusters of greenish-white flowers, large compound leaves."
Apiales,Cicuta virosa,Water Hemlock," White flowers in umbrella-like clusters, finely divided leaves.","A photograph of a Water Hemlock (Cicuta virosa): White flowers in umbrella-like clusters, finely divided leaves."
Apiales,Petroselinum crispum,Garden Parsley," Bright green, curly or flat leaves, small greenish-yellow flowers.","A photograph of a Garden Parsley (Petroselinum crispum): Bright green, curly or flat leaves, small greenish-yellow flowers."
Apiales,Heracleum sphondylium,Common Hogweed," Large, lobed leaves, white flowers in umbrella-like clusters.","A photograph of a Common Hogweed (Heracleum sphondylium): Large, lobed leaves, white flowers in umbrella-like clusters."
Apiales,Levisticum officinale,Lovage," Dark green leaves divided into leaflets, yellow-green flowers.","A photograph of a Lovage (Levisticum officinale): Dark green leaves divided into leaflets, yellow-green flowers."
Apiales,Foeniculum vulgare,Fennel," Feathery, thread-like leaves, yellow flowers in umbrella-like clusters.","A photograph of a Fennel (Foeniculum vulgare): Feathery, thread-like leaves, yellow flowers in umbrella-like clusters."
Apiales,Aegopodium podagraria,Bishop's Weed," Variegated green and white leaves, small white flowers.","A photograph of a Bishop's Weed (Aegopodium podagraria): Variegated green and white leaves, small white flowers."
Apiales,Eryngium maritimum,Sea Holly," Silvery-blue, spiky leaves and flowers, with a thistle-like appearance.","A photograph of a Sea Holly (Eryngium maritimum): Silvery-blue, spiky leaves and flowers, with a thistle-like appearance."
Apiales,Peucedanum ostruthium,Masterwort," Glossy, dark green leaves divided into leaflets, white or pink flowers.","A photograph of a Masterwort (Peucedanum ostruthium): Glossy, dark green leaves divided into leaflets, white or pink flowers."
Apiales,Myrrhis odorata,Sweet Cicely," Fern-like leaves, clusters of small white flowers, aniseed scent.","A photograph of a Sweet Cicely (Myrrhis odorata): Fern-like leaves, clusters of small white flowers, aniseed scent."
Apiales,Anethum graveolens,Dill," Feathery, blue-green leaves, yellow flowers in umbrella-like clusters.","A photograph of a Dill (Anethum graveolens): Feathery, blue-green leaves, yellow flowers in umbrella-like clusters."
Apiales,Coriandrum sativum,Coriander," Bright green, lobed leaves, small white or pink flowers.","A photograph of a Coriander (Coriandrum sativum): Bright green, lobed leaves, small white or pink flowers."
Apiales,Carum carvi,Caraway," Feathery leaves, small white or pink flowers in umbrella-like clusters.","A photograph of a Caraway (Carum carvi): Feathery leaves, small white or pink flowers in umbrella-like clusters."
Apiales,Achillea millefolium,Common Yarrow," Feathery leaves, clusters of small white or pink flowers.","A photograph of a Common Yarrow (Achillea millefolium): Feathery leaves, clusters of small white or pink flowers."
Apiales,Pimpinella anisum,Anise," Feathery leaves, small white flowers in umbrella-like clusters.","A photograph of a Anise (Pimpinella anisum): Feathery leaves, small white flowers in umbrella-like clusters."
Aquifoliales,Ilex aquifolium,English Holly," Dark green, glossy leaves with sharp spines. Red berries in winter.","A photograph of a English Holly (Ilex aquifolium): Dark green, glossy leaves with sharp spines. Red berries in winter."
Aquifoliales,Ilex opaca,American Holly," Thick, leathery leaves with spiny edges. Red or yellow berries.","A photograph of a American Holly (Ilex opaca): Thick, leathery leaves with spiny edges. Red or yellow berries."
Aquifoliales,Ilex crenata,Japanese Holly," Small, rounded leaves without spines. Black berries.","A photograph of a Japanese Holly (Ilex crenata): Small, rounded leaves without spines. Black berries."
Aquifoliales,Ilex vomitoria,Yaupon Holly," Small, oval leaves and red berries. Smooth bark.","A photograph of a Yaupon Holly (Ilex vomitoria): Small, oval leaves and red berries. Smooth bark."
Aquifoliales,Ilex glabra,Inkberry," Dark green, glossy leaves. Black berries.","A photograph of a Inkberry (Ilex glabra): Dark green, glossy leaves. Black berries."
Aquifoliales,Ilex verticillata,Winterberry, Deciduous holly with bright red berries in winter.,A photograph of a Winterberry (Ilex verticillata): Deciduous holly with bright red berries in winter.
Aquifoliales,Ilex decidua,Possumhaw, Deciduous holly with light gray bark and red berries.,A photograph of a Possumhaw (Ilex decidua): Deciduous holly with light gray bark and red berries.
Aquifoliales,Ilex cassine,Dahoon Holly," Evergreen with light bark, red berries, and elongated leaves.","A photograph of a Dahoon Holly (Ilex cassine): Evergreen with light bark, red berries, and elongated leaves."
Aquifoliales,Ilex 'Highcliff',Highcliff Holly, Compact holly with dark green leaves and red berries.,A photograph of a Highcliff Holly (Ilex 'Highcliff'): Compact holly with dark green leaves and red berries.
Aquifoliales,Ilex 'Mesdob',China Boy Holly," Male holly with dark green, glossy leaves.","A photograph of a China Boy Holly (Ilex 'Mesdob'): Male holly with dark green, glossy leaves."
Aquifoliales,Ilex 'Mesog',China Girl Holly, Female holly with dark green leaves and red berries.,A photograph of a China Girl Holly (Ilex 'Mesog'): Female holly with dark green leaves and red berries.
Aquifoliales,Ilex 'Blue Princess',Blue Princess Holly, Dark blue-green leaves with bright red berries.,A photograph of a Blue Princess Holly (Ilex 'Blue Princess'): Dark blue-green leaves with bright red berries.
Aquifoliales,Ilex 'Blue Prince',Blue Prince Holly, Male holly with blue-green leaves.,A photograph of a Blue Prince Holly (Ilex 'Blue Prince'): Male holly with blue-green leaves.
Aquifoliales,Ilex 'Golden Girl',Golden Girl Holly, Yellow-berried holly with dark green leaves.,A photograph of a Golden Girl Holly (Ilex 'Golden Girl'): Yellow-berried holly with dark green leaves.
Aquifoliales,Nellie R,," Large, fast-growing holly with red berries.","A photograph of a Nellie R: Large, fast-growing holly with red berries."
Aquifoliales,Ilex 'Magland',Oakland Holly, Pyramidal holly with dark green leaves.,A photograph of a Oakland Holly (Ilex 'Magland'): Pyramidal holly with dark green leaves.
Aquifoliales,Ilex 'Conin',Robin Holly, Compact holly with glossy leaves and red berries.,A photograph of a Robin Holly (Ilex 'Conin'): Compact holly with glossy leaves and red berries.
Aquifoliales,Ilex 'Sky Pencil',Sky Pencil Holly," Tall, narrow holly with small leaves and black berries.","A photograph of a Sky Pencil Holly (Ilex 'Sky Pencil'): Tall, narrow holly with small leaves and black berries."
Aquifoliales,Ilex 'Sparkleberry',Sparkleberry, Deciduous holly with bright red berries in winter.,A photograph of a Sparkleberry (Ilex 'Sparkleberry'): Deciduous holly with bright red berries in winter.
Aquifoliales,Ilex 'Little Red',Little Red Holly, Compact holly with dark green leaves and red berries.,A photograph of a Little Red Holly (Ilex 'Little Red'): Compact holly with dark green leaves and red berries.
Arecales,Cocos nucifera,Coconut Palm," Tall tree with a slender trunk, large, feather-like leaves, and large, round, brown fruits.","A photograph of a Coconut Palm (Cocos nucifera): Tall tree with a slender trunk, large, feather-like leaves, and large, round, brown fruits."
Arecales,Phoenix dactylifera,Date Palm," Long, feather-shaped leaves, clustering yellow flowers, and oval, reddish-brown fruits.","A photograph of a Date Palm (Phoenix dactylifera): Long, feather-shaped leaves, clustering yellow flowers, and oval, reddish-brown fruits."
